Obs,CLINIC,YEAR,GENDERSP,TOTAL,Susceptible,TetI,PenI,PenI_TetI,TetR,TetR_PenI,PenR,PenR_TetI,PenR_TetR,CipI_PenI_TetI,TetR_CipI,AziRS_PenI_TetI,CipI_TetI,CipR_PenR_TetR,CipR_PenI_TetI,CipR_TetR_PenI,CipR_PenI,CipR_PenR_TetI,AziRS_CipR_PenR_TetR,PenR_CipI_TetI,PenR_TetR_CipI,CipR_PenR,TetR_CipI_PenI,AziRS_CipR_TetR_PenI,AziRS_TetR_PenI,AziRS_PenR_TetR,AziRS_PenR_TetI,CipI_PenI,CfxRS_CipR_PenR_TetR,CfxRS_PenI_TetI,AziRS,AziRS_TetI,AziRS_PenI,CfxRS_CipI_PenI_TetI,AziRS_CipR_PenI_TetI,CfxRS_TetR_PenI,CipR_TetI,CipI,AziRS_PenR,PenR_CipI,AziRS_TetR_CipI_PenI,CipR,CipR_TetR,AziRS_CipI_PenI_TetI,CfxRS_CipR_TetR_PenI,AziRS_TetR,AziRS_CipR_PenR_TetI,CroRS_CfxRS_CipR_PenR_TetR,CroRS_CfxRS_PenR_TetI,CfxRS_PenR_TetR
443,CIN,2010,MSM,6,.,.,.,1,.,3,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
444,CIN,2010,MSMW,3,.,.,.,1,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
445,CIN,2010,Oth/Unk/Missing,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
446,CIN,2011,MSW,40,.,.,26,10,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
447,CIN,2011,MSMW,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
448,CLE,2000,MSW,242,4,2,92,87,.,33,.,5,16,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
449,CLE,2000,MSM,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
450,CLE,2000,Oth/Unk/Missing,8,1,.,3,2,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
451,CLE,2001,MSW,265,12,.,107,92,1,36,.,8,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
452,CLE,2001,MSM,4,.,.,.,2,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
453,CLE,2001,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
454,CLE,2002,MSW,267,19,5,90,114,.,30,.,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
455,CLE,2002,MSM,2,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
456,CLE,2002,MSMW,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
457,CLE,2002,Oth/Unk/Missing,3,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
458,CLE,2003,MSW,282,50,9,68,126,.,24,.,2,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
459,CLE,2003,MSM,6,.,1,1,3,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
460,CLE,2003,MSMW,4,.,.,1,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
461,CLE,2004,MSW,256,34,13,51,122,1,24,.,.,4,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
462,CLE,2004,MSM,2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
463,CLE,2004,MSMW,3,1,.,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
464,CLE,2004,Oth/Unk/Missing,3,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
465,CLE,2005,MSW,272,35,7,56,131,.,12,.,.,5,17,.,.,2,2,.,1,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
466,CLE,2005,MSM,7,.,.,2,.,.,1,.,.,.,.,.,.,.,2,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
467,CLE,2005,MSMW,2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
468,CLE,2005,Oth/Unk/Missing,2,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
469,CLE,2006,MSW,279,26,5,54,152,1,9,.,.,15,8,.,.,.,4,2,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
470,CLE,2006,MSM,7,.,.,1,3,.,.,.,.,.,.,.,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
471,CLE,2006,MSMW,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
472,CLE,2006,Oth/Unk/Missing,5,.,.,3,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
473,CLE,2007,MSW,267,31,9,82,121,1,6,.,1,2,10,.,.,.,.,.,.,.,.,.,1,.,.,2,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
474,CLE,2007,MSM,8,1,1,1,3,.,.,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
475,CLE,2007,MSMW,6,.,.,2,1,.,1,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
476,CLE,2007,Oth/Unk/Missing,4,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
477,CLE,2008,MSW,215,38,2,66,92,.,11,1,1,.,.,.,.,.,1,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
478,CLE,2008,MSM,11,1,.,.,3,.,2,.,.,1,.,.,.,.,3,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
479,CLE,2008,MSMW,14,.,.,1,5,.,5,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
480,CLE,2008,Oth/Unk/Missing,3,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
481,CLE,2009,MSW,211,.,.,111,71,.,21,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
482,CLE,2009,MSM,9,.,.,4,1,.,3,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
483,CLE,2009,MSMW,11,.,.,1,.,.,7,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
484,CLE,2009,Oth/Unk/Missing,4,.,.,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
485,CLE,2010,MSW,195,.,.,84,92,.,11,.,6,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
486,CLE,2010,MSM,14,.,.,3,7,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
487,CLE,2010,MSMW,2,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
488,CLE,2010,Oth/Unk/Missing,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
489,CLE,2011,MSW,186,.,.,81,79,.,16,1,7,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
490,CLE,2011,MSM,9,.,.,1,4,.,2,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
491,CLE,2011,MSMW,9,.,.,3,3,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
492,CLE,2012,MSW,156,.,.,55,77,.,15,.,7,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
493,CLE,2012,MSM,11,.,.,1,7,.,1,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
494,CLE,2012,MSMW,4,.,.,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
495,CLE,2012,Oth/Unk/Missing,4,.,.,1,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
496,CLE,2013,MSW,134,.,.,53,53,.,24,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
497,CLE,2013,MSM,23,.,.,2,11,.,5,.,2,.,.,.,.,.,.,.,2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
498,CLE,2013,MSMW,9,.,.,1,6,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
499,CLE,2013,Oth/Unk/Missing,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
500,CLE,2014,MSW,91,.,.,42,26,.,8,2,4,2,2,.,1,.,1,1,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
501,CLE,2014,MSM,14,.,.,1,8,.,3,.,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
502,CLE,2014,MSMW,6,.,.,2,2,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
503,CLE,2014,Oth/Unk/Missing,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
504,CLE,2015,MSW,98,.,.,40,42,.,6,.,2,.,2,.,.,.,1,3,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
505,CLE,2015,MSM,15,.,.,1,4,.,3,.,.,1,.,.,.,.,.,1,2,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
506,CLE,2015,MSMW,10,.,.,1,3,.,.,.,.,.,1,.,.,.,1,2,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
507,CLE,2016,MSW,102,.,.,31,52,.,3,3,3,.,1,.,.,.,1,5,.,1,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
508,CLE,2016,MSM,10,.,.,2,5,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
509,CLE,2016,MSMW,6,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
510,CLE,2016,Oth/Unk/Missing,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
511,CLE,2017,MSW,62,5,1,8,38,.,.,.,2,.,.,.,.,.,1,6,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
512,CLE,2017,MSM,6,.,.,.,3,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
513,CLE,2017,MSMW,4,.,.,.,1,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
514,CLE,2017,Oth/Unk/Missing,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
515,CLE,2018,MSW,33,5,.,3,13,.,4,.,.,.,2,.,.,.,.,5,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
516,CLE,2018,MSM,5,.,.,.,3,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
517,CLE,2018,MSMW,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
518,CLE,2019,MSW,15,.,.,2,8,.,2,.,.,1,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
519,CLE,2019,MSM,2,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
520,CLE,2019,MSMW,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
521,CLE,2019,Oth/Unk/Missing,45,2,1,2,20,1,10,.,.,.,.,.,.,.,.,4,1,.,2,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
522,COL,2012,MSW,89,.,.,33,38,.,13,2,.,.,.,.,.,.,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
523,COL,2012,MSM,19,.,.,2,11,.,2,.,.,.,.,.,.,.,1,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
524,COL,2012,MSMW,3,.,.,.,1,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
525,COL,2012,Oth/Unk/Missing,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
526,COL,2013,MSW,238,.,.,97,113,.,14,2,7,2,.,.,.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
527,COL,2013,MSM,52,.,.,4,16,.,11,.,2,7,1,.,.,.,1,3,3,.,.,.,.,.,.,3,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
528,COL,2013,MSMW,7,.,.,2,3,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
529,COL,2013,Oth/Unk/Missing,3,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
530,COL,2014,MSW,235,.,.,60,145,.,10,.,12,5,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
531,COL,2014,MSM,49,.,.,4,11,.,9,.,3,4,.,.,1,.,7,.,5,.,.,.,.,1,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
532,COL,2014,MSMW,9,.,.,.,4,.,1,.,.,2,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
533,COL,2014,Oth/Unk/Missing,7,.,.,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
534,COL,2015,MSW,232,.,.,61,134,.,9,.,3,.,.,.,.,.,12,7,4,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
535,COL,2015,MSM,59,.,.,7,17,.,7,.,7,4,.,.,.,.,3,6,4,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
536,COL,2015,MSMW,6,.,.,.,1,.,.,.,.,.,.,.,.,.,1,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
537,COL,2015,Oth/Unk/Missing,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
538,COL,2016,MSW,227,.,.,58,87,.,28,.,2,.,.,.,.,.,23,16,10,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
539,COL,2016,MSM,55,.,.,3,19,.,8,.,6,4,1,.,.,.,2,4,4,.,1,.,.,.,.,.,.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
540,COL,2016,MSMW,16,.,.,4,7,.,2,.,2,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
541,COL,2016,Oth/Unk/Missing,2,.,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
542,COL,2017,MSW,231,6,2,34,62,.,31,.,5,.,.,.,1,.,20,29,10,2,1,.,.,.,.,.,.,25,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
543,COL,2017,MSM,56,.,2,2,13,.,9,.,.,2,.,.,.,.,3,7,.,.,2,.,.,1,.,.,1,9,.,.,1,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
544,COL,2017,MSMW,13,.,.,2,6,.,3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
545,COL,2018,MSW,240,12,6,38,53,2,21,.,5,1,1,.,2,.,10,49,14,1,2,.,.,.,.,.,.,21,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
546,COL,2018,MSM,50,1,1,5,15,.,14,.,2,.,.,.,3,.,.,4,1,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
547,COL,2018,MSMW,8,.,.,1,4,.,.,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.
548,COL,2019,MSW,249,5,1,29,54,.,52,.,1,1,.,.,.,.,4,57,20,2,3,.,.,.,.,1,1,16,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.
549,COL,2019,MSM,45,4,2,3,6,.,2,.,.,1,1,.,.,.,3,9,1,.,11,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
550,COL,2019,MSMW,6,.,.,.,.,.,2,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
551,DAL,2000,MSW,241,4,15,16,146,.,32,.,10,16,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
552,DAL,2000,MSM,7,.,2,.,2,.,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
553,DAL,2001,MSW,283,28,5,52,122,1,52,.,8,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
554,DAL,2001,MSM,11,.,.,3,4,.,1,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
555,DAL,2001,MSMW,2,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
556,DAL,2001,Oth/Unk/Missing,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
557,DAL,2002,MSW,270,26,4,85,101,2,35,.,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
